customer_id,full_name,city,country,pets_owned,policies_owned,total_claims,total_claim_amount,total_premiums_paid
55,Corey Chavez,New Erika,Gibraltar,2,3,7,3131.19,5493.72
56,Christine Burton,North Michellemouth,Greece,2,4,8,4055.91,8224.9
57,Deanna Hernandez,Martinezfurt,Italy,0,0,0,,
58,April Simmons,Millerburgh,Saudi Arabia,2,3,6,2683.62,9082.54
59,Ryan Leonard,West John,Jersey,1,2,1,2294.13,2361.42
60,Samantha Summers,Bellmouth,Peru,0,0,0,,
61,Michael Wagner,Smithburgh,Lao People's Democratic Republic,2,4,5,6112.72,4364.73
62,Stacey Pope,West Sarahfurt,Saint Martin,2,3,11,6099.58,9342.72
63,Kevin Smith,South Ryanfort,San Marino,3,6,10,6650.63,12777.22
64,Nicole Fuller,Johnsonchester,United Arab Emirates,1,1,3,2672.19,181.14
65,Lori Sanders,Garzaside,Antarctica (the territory South of 60 deg S),1,1,2,1018.31,756.54
66,Elizabeth Chavez,North Anthonyshire,Tunisia,1,0,0,,
67,Tiffany Salinas,East Elizabeth,Saint Vincent and the Grenadines,4,3,5,2437.25,10835.1
68,Kelly Moore,Bushland,Tokelau,2,3,1,302.68,3429.32
69,Nicholas Garcia,Daniellehaven,Turkmenistan,1,1,2,377.48,411.06
70,Jean Lewis,South Guyfort,Jordan,4,4,8,7129.38,9011.1
71,Noah Smith,Sonyabury,Bolivia,1,2,2,3492.22,2271.47
72,David Armstrong,Munozshire,Saint Martin,0,0,0,,
73,Rebecca Martin,Hoffmanside,Ireland,4,6,12,8566.37,9048.58
74,Christopher Mcguire,East Abigailbury,Bangladesh,1,2,6,2927.9,2992.62
75,Nicholas Villarreal,Ramosview,Dominican Republic,2,3,3,1157.52,2795.98
76,Edward Shepherd,West Katelyn,Sri Lanka,1,0,0,,
77,Kevin Johnson,East Carolyn,Saint Pierre and Miquelon,0,0,0,,
78,Frances Elliott,North Nicholas,Anguilla,2,3,4,1593.23,5538.6
79,Ricky Doyle,Wattshaven,Germany,1,1,0,,1244.16
80,Julie Taylor,North Sandraport,Jersey,0,0,0,,
81,Meghan Brown,Cherylberg,Uzbekistan,1,1,2,657.72,797.16
82,Elizabeth Hunter,Nicolefurt,Australia,0,0,0,,
83,Katrina Edwards,Huntborough,Botswana,2,3,9,6003.58,11370.66
84,Nicole Johnson,East Philipside,Montenegro,1,1,0,,664.18
85,Kathleen Lang,New Travis,Qatar,0,0,0,,
86,Brian Mayer,Georgemouth,Haiti,1,1,4,1965.27,7188.52
87,Christine Cooper,Hooverfort,Martinique,1,1,3,1490.37,252.18
88,Laurie Robinson,Ryanhaven,Venezuela,1,3,6,3134.61,7795.6
89,Robert Marshall,North Joshua,Montserrat,1,2,5,2556.23,2979.22
90,Mark Mitchell,Lorettaton,Kazakhstan,1,2,4,2934.01,3809.26
91,Douglas Roberson,West Josephburgh,Russian Federation,1,0,0,,
92,Joshua Cabrera,Justinbury,Zimbabwe,1,3,6,2309.23,6152.36
93,Richard Martin,North Richard,Fiji,0,0,0,,
94,Karina Hill,Parksburgh,Mauritania,1,3,2,1659.81,3172.18
95,Robert Jackson,Peckview,Angola,3,6,10,4555.09,8591.07
96,Angela Mitchell,Adamstown,Mali,1,2,0,,1589.77
97,Christopher Smith,Lake Teresa,Mongolia,2,1,4,1672.76,4547.2
98,Lisa Davis,Stevenfurt,Faroe Islands,0,0,0,,
99,Aaron Evans,South Erinton,Panama,1,1,1,223.28,677.4
100,Jennifer Roberts,North Loriside,French Guiana,2,4,4,3352.85,5252.59
101,Jim Brown,Port Gabriella,Cyprus,1,2,4,1317.54,4879.87
102,Michael Leonard,Bakertown,Guernsey,2,4,7,3215.98,7591.06
103,Katrina Roberts,Howardchester,Botswana,1,2,2,1659.63,2084.86
104,Heidi Dominguez,East Christy,Bangladesh,1,3,2,566.29,4733.44
105,Kevin Odom,New Steven,Angola,1,1,0,,224.91
106,Christian Petersen,Jonathanbury,Seychelles,2,2,2,1789.86,2174.73
107,Martin Huber,Moorebury,Algeria,1,2,1,295.1,3228.0
108,Matthew Reed,Jeantown,Tajikistan,1,2,3,1750.93,7600.25
109,Janice Morris,Port Dorothyland,Ghana,0,0,0,,
110,Adam Mcdonald,Port Robert,Saint Vincent and the Grenadines,2,3,4,1759.86,5320.0
111,Michael Stevenson,West Suzanne,Luxembourg,2,6,7,4540.9,5570.88
112,Brittney Miller,Kirbyville,Uruguay,1,2,6,3951.35,11984.6
113,Jeffery Mcfarland,Gomezhaven,Oman,2,9,10,4788.36,15203.56
114,Seth Rivera,Brewerfurt,Zambia,1,4,10,9738.71,19779.81
115,Leslie Martinez,Brownbury,Ireland,2,2,5,4137.37,4009.78
116,Andrew Thompson,Port Larrytown,Micronesia,1,2,4,2249.63,2285.34
117,Glenda Morrison,Alexandershire,Bosnia and Herzegovina,2,3,6,3694.08,3060.51
118,Derek Burgess,Pricefort,Nauru,3,7,10,11217.02,18130.63
119,Sarah Gibson,Johnsonberg,Maldives,3,5,11,5038.78,16618.65
120,Michael Snyder,Raymondfort,Lithuania,2,5,4,1867.57,3144.22
121,Grant Johnson,Thomasside,Paraguay,2,5,8,4348.48,9863.47
122,Stephen Rogers,Carrshire,Namibia,1,0,0,,
123,Jessica Stevens,Richardberg,Fiji,3,9,23,16881.14,20823.33
124,Vincent Kaiser,Evelynberg,Brunei Darussalam,1,3,2,1205.3,3895.31
125,Stephen Smith,Bishopside,Equatorial Guinea,0,0,0,,
126,Kimberly Morrow,Johnton,Guyana,4,10,22,7678.53,31215.4
127,Anthony May,East Josetown,Saudi Arabia,2,4,2,616.34,2497.0
128,Kari Humphrey,Bobbytown,Saint Martin,2,7,15,11422.71,13005.24
129,Michelle Mcintyre,Port Caitlynville,Liechtenstein,1,2,4,1838.06,9576.04
130,James Colon,Ellenborough,Norway,1,2,2,1723.65,1229.29
131,Derek Watson,Rachelstad,Jamaica,2,1,1,105.78,442.72
132,Christine Stein,New Matthewside,Isle of Man,1,3,2,430.24,1499.76
133,Patrick Owens,Kyliefort,Guatemala,0,0,0,,
134,Alexis Cox,Port Shaneside,Seychelles,2,4,8,5203.14,3781.6
135,Amanda Petersen,Lewisview,Norway,2,6,11,8800.67,7112.74
136,Angelica Cameron,Davenportfort,Ecuador,1,1,1,127.12,198.31
137,Kara Barr,Lake Jessica,Vietnam,0,0,0,,
138,Margaret Williams,East Adam,Jamaica,2,2,3,577.69,2759.28
139,Bryan Gallagher,North Julie,South Georgia and the South Sandwich Islands,3,1,2,283.0,5983.32
140,Jennifer Hawkins,Lake Richard,Greece,0,0,0,,
141,Julia Mora,North Andrewbury,Bahrain,1,1,3,3018.09,6416.25
142,Miranda Ortega,Carterport,Tanzania,1,0,0,,
143,Brandi Sanders,South Johnmouth,Palau,2,3,6,4112.26,3155.37
144,William Cross,Aliciamouth,Morocco,0,0,0,,
145,Traci Payne,Paulmouth,Qatar,1,2,4,5263.01,1907.08
146,Paul Arnold,Schmittton,Cambodia,1,2,0,,1932.5
147,Amanda Gomez,Tylershire,Sri Lanka,1,0,0,,
148,Matthew Rivas,Lake Josephberg,Egypt,0,0,0,,
149,Albert Lawson,South Caitlin,Marshall Islands,0,0,0,,
150,Donald Duffy,Brandonchester,United Arab Emirates,1,1,0,,395.15
151,Loretta Anderson,West Robin,New Zealand,2,4,4,1491.71,2916.18
152,Samantha Harris,Fordside,United States Minor Outlying Islands,2,2,3,791.79,3044.32
153,Megan Cook,Moraton,Jamaica,1,2,4,1775.54,1343.85
154,Lisa Johnson,Dannyborough,Heard Island and McDonald Islands,1,2,7,8512.62,2375.92
155,Robert Wells,North Patriciamouth,Guam,1,1,0,,330.33
156,Carrie Rowe,Shawnburgh,Nigeria,1,4,10,9171.53,7014.16
157,Eric Robinson,Christopherhaven,Cape Verde,3,5,9,2820.38,9517.55
158,Teresa Kennedy,Kyleton,Syrian Arab Republic,1,2,6,6040.76,7522.5
159,Michelle Stephens,South Alishaberg,Comoros,1,3,2,2830.29,2924.32
160,Cindy Brown,South Nicole,Micronesia,0,0,0,,
161,Becky Kelley,East Rebecca,United States Minor Outlying Islands,0,0,0,,
162,Erika Moore,Sharonborough,Sweden,1,0,0,,
163,David Gomez,South Melanie,Australia,1,2,3,2104.97,873.8
164,James Kennedy,Lake Wayneview,Pakistan,2,1,4,1720.88,1926.44
165,Sarah Jones,East Ethan,Greenland,2,4,8,5444.65,13718.3
166,Douglas Daniels,Stephenburgh,Panama,0,0,0,,
167,Stephen Evans,Kathleenville,Argentina,2,1,2,407.42,395.7
168,Danielle Harris,New Douglasbury,Montenegro,1,3,5,2441.88,9268.98
169,William Jones,Port Dennis,Japan,1,1,0,,1933.38
170,Rachel Ellison,Mileston,Reunion,3,4,5,3723.06,4700.7
171,Charles Johnson,South Lisaport,Anguilla,1,1,1,289.2,1382.4
172,Crystal Pace,North Leroyview,India,1,1,6,2351.28,5757.9
173,Mariah Becker,Cooperstad,Holy See (Vatican City State),0,0,0,,
174,Carmen King,Anthonystad,Morocco,1,2,0,,1404.37
175,James Ryan,West Robert,Cocos (Keeling) Islands,1,2,1,526.0,896.1
176,Alexis Green,Port Robert,Svalbard & Jan Mayen Islands,3,5,8,5125.74,6569.31
177,Jennifer Delgado,West Jose,Canada,1,0,0,,
178,Cory Collier,Morganshire,Guatemala,1,1,0,,2869.76
179,Logan Washington,Carterstad,Bahamas,1,3,6,4417.56,10142.9
180,Chris Ramsey,Hernandezview,Solomon Islands,2,7,6,5617.4,5565.39
181,Barbara Miller,Lindaborough,Swaziland,1,1,0,,279.51
182,Brandi Allison,Lake Angela,Northern Mariana Islands,1,1,0,,1727.18
183,Janice Sanders,North Christopher,Ukraine,1,2,6,4693.39,1944.78
184,Marcus Mclean,Gonzalesmouth,Lithuania,1,1,1,545.29,1298.35
185,Allison Smith,South Nataliebury,Iceland,0,0,0,,
186,Cameron Johnson,Lake Teresaborough,Lesotho,1,1,2,1405.41,449.82
187,Morgan Todd,Williammouth,Peru,0,0,0,,
188,Nicole Williams,Lauriestad,Latvia,2,6,13,9531.81,7691.18
189,Mary Johnson,Sethmouth,Poland,0,0,0,,
190,Frances Allison,Lake George,Syrian Arab Republic,0,0,0,,
191,David Clark,Michaelchester,Lesotho,2,4,4,3374.88,6021.9
192,Caitlin Wheeler,New Matthew,Antarctica (the territory South of 60 deg S),1,1,1,779.65,1184.9
193,Rachel Price,East Jodyshire,Kuwait,1,0,0,,
194,Zachary Lewis,Lake Tracyview,Hungary,1,3,4,3393.71,2206.44
195,Caroline Ingram,Terriport,Micronesia,2,4,8,3604.58,6722.43
196,John Harper,North Jocelyn,Benin,2,5,8,6378.45,4196.3
197,Manuel Briggs,Danielbury,Slovakia (Slovak Republic),2,4,7,2947.31,3832.95
198,Cassie Martin,Andersonland,Gibraltar,1,2,3,1410.69,1924.03
199,Thomas Hinton,South Brianfurt,Greenland,1,1,1,972.29,2360.0
200,Ricky Mckay,Ashleyborough,Namibia,0,0,0,,
201,Aaron Ross,Allenport,Fiji,3,14,27,18273.26,24227.18
202,Kristen Hamilton,Benjaminside,South Africa,0,0,0,,
203,Kathryn Harrison,Fisherville,Zambia,2,2,4,2162.9,955.65
204,Crystal Zhang,Woodmouth,Costa Rica,2,1,1,220.64,452.85
205,Katherine Wright,Lake Melissamouth,Bahamas,1,2,5,1887.79,5426.31
206,Brian Vaughn,Crystalfort,Greece,2,1,2,1133.05,3714.5
207,Amy Brennan,East Michaelfurt,Heard Island and McDonald Islands,1,3,10,7866.94,19400.52
208,Holly Bender,Michaelton,Togo,1,2,5,2579.44,4638.96
209,Richard Henson,Markport,Paraguay,1,2,3,446.86,3091.02
210,James Davis,West Nathan,French Southern Territories,3,4,6,3474.2,7414.26
211,Brian Walsh,Markstad,Brunei Darussalam,1,0,0,,
212,Scott Collins,Lake Lisa,Somalia,1,3,1,210.71,2177.26
213,David Lee,Lewisport,United States Virgin Islands,1,1,6,2222.97,7565.4
214,William Khan,East Ericafort,Lebanon,1,1,2,733.84,196.14
215,Melinda Perry,North Stephanieville,Finland,1,3,6,5099.4,5255.15
216,Bryan Merritt,New Caseyborough,Gibraltar,1,1,1,167.78,397.8
217,Patricia Reid,New John,Korea,1,2,1,274.22,652.8
218,Frank Nelson,South Robert,Djibouti,1,0,0,,
219,Amy Hubbard,Leviton,Central African Republic,1,1,2,1317.66,339.96
220,Margaret Maldonado,Davischester,Venezuela,1,0,0,,
221,Michael Riley,West Derekborough,Anguilla,1,2,2,444.36,1606.9
222,William Marsh,Martinstad,Chile,2,4,5,2753.63,1514.41
223,Jessica Bonilla,South Meganborough,Mauritania,2,6,10,6203.03,6571.43
224,Michael Wallace,East Blake,Poland,2,5,6,5433.07,4704.31
225,Christopher Sanders,Changbury,Slovenia,1,3,9,4998.87,6794.13
226,Jose Moore,Rayport,Guadeloupe,1,2,5,5761.32,607.38
227,Andre Bennett,East Clinton,Congo,1,3,7,3171.34,3231.53
228,Samuel Baldwin,New Georgeshire,Latvia,0,0,0,,
229,Robert Giles,Lake Rodney,Sierra Leone,1,2,3,2269.0,6239.75
230,Stephanie Murphy,North Carolshire,Jersey,0,0,0,,
231,Curtis Chapman,East Christophertown,Senegal,1,1,4,1095.58,1938.0
232,Ryan Watson,New Sonyabury,Uruguay,0,0,0,,
233,Joshua Osborne,Robinmouth,Serbia,2,4,6,3413.35,2824.64
234,Elizabeth Sanders,Carolynstad,Netherlands Antilles,1,2,5,1391.88,2043.76
235,Kevin Curry,Stacieland,Montserrat,2,2,2,1402.94,809.63
236,William Quinn,North Annette,Greece,1,0,0,,
237,Lori Curtis,West Kevin,Sierra Leone,1,1,1,1739.96,756.54
238,Nathan Kerr,Lake Zachary,Wallis and Futuna,1,1,4,1869.53,336.24
239,John Patterson,Lake Lynn,Korea,1,0,0,,
240,Kristen Mathews,Pettychester,Rwanda,2,2,3,1223.72,2728.29
241,Anthony Patterson,North Bobbyland,Kiribati,2,7,12,6169.24,8261.33
242,Michael Garcia,Port Jonathan,Mali,1,1,2,954.31,2764.8
243,William Stewart,Reyeschester,Jordan,1,1,3,3522.48,1753.29
244,Rachel Nichols,Hoffmantown,Croatia,1,1,1,207.09,835.38
245,Anne Anderson,Kirkburgh,Brunei Darussalam,1,2,4,3757.55,2734.2
246,Julie Daniels,Virginiaview,Saint Martin,0,0,0,,
247,Cheryl Morales,New Kevin,Faroe Islands,1,2,1,413.48,1756.18
248,Tina Elliott,Gutierrezborough,Bosnia and Herzegovina,2,1,0,,1153.02
249,Christine Salazar,East Jessicaberg,Belize,1,4,3,2380.63,6572.96
250,Michael Lucero,Sharonhaven,Jamaica,0,0,0,,
251,Kathryn Bush,South Lindsey,Mauritius,4,9,16,13538.44,11040.84
252,Megan Miller,Emilytown,El Salvador,1,1,0,,771.12
253,Justin Martinez,North Brianaville,Sweden,4,3,4,3574.46,4540.4
254,Chelsea Riddle,Port Elijah,Guyana,2,4,9,3291.72,10069.62
255,Glenda Burnett,Amyborough,Lebanon,2,8,16,11591.68,8279.95
256,Samantha Gordon,Danielsview,Ghana,1,0,0,,
257,Justin Powell,Meganhaven,British Virgin Islands,1,1,4,7492.21,9502.92
258,Paige Harmon,Glennburgh,Latvia,4,3,9,3877.14,8471.1
259,Christine Stewart,Lisaburgh,Norfolk Island,1,1,2,1349.04,1075.08
260,Melanie King,Wilsonmouth,Morocco,0,0,0,,
261,Daniel Mata,Richardton,Holy See (Vatican City State),2,2,3,2166.23,7981.68
262,Melinda Tyler,East Collin,Norfolk Island,1,3,4,2298.53,5379.23
263,Kelly Mathis,Kylieborough,Poland,0,0,0,,
264,Frederick Brown,North Aprilville,Honduras,1,1,1,328.81,515.97
265,Matthew Holland,Michelleview,Costa Rica,1,1,2,1341.99,4360.5
266,Matthew Weber,Amyville,Korea,0,0,0,,
267,Laura Hayes,Howellville,Iran,0,0,0,,
268,Aaron Griffith,West Kara,Pakistan,1,2,3,2706.52,1327.26
269,Jeremiah Holmes,West Jimmy,Liechtenstein,1,1,2,683.24,664.08
270,Luis Boyle,North Michelle,Guam,1,1,4,2563.14,2353.68
271,Robert Brown,Port Mark,Timor-Leste,0,0,0,,
272,Sara Nicholson,Victoriabury,Malaysia,1,3,9,3790.89,7362.65
273,Adam Brown,North Jamesville,French Polynesia,1,0,0,,
274,James Williams,Taraborough,Myanmar,2,3,5,4200.28,8446.58
275,Shari Scott,New Jackstad,Northern Mariana Islands,0,0,0,,
276,Marilyn Payne,Kimport,Greece,1,0,0,,
277,Cheryl Farmer,West Mariabury,Cyprus,0,0,0,,
278,Darryl Wong,Katherineshire,Dominica,1,3,6,5325.27,7103.39
279,Greg Love,Heatherstad,Bhutan,1,1,2,737.17,5162.5
280,William Ortega,Port Maryfort,Mali,4,6,9,4766.35,6214.18
281,Margaret Kidd,South Dorothy,United Kingdom,1,2,3,1987.07,1629.82
282,Jean Thomas,Lake Javier,Macao,1,2,4,2297.13,2615.38
283,Dwayne Brown,North Christopherstad,Uruguay,2,4,4,1558.12,6383.61
284,Carla Curry,Joelville,Venezuela,0,0,0,,
285,Brent James,Lake Warren,Puerto Rico,2,6,7,3794.65,7835.03
286,Michael Thompson,Mccarthymouth,French Guiana,2,4,3,507.79,2309.17
287,Keith Smith,Jesusstad,Tanzania,1,1,3,945.81,276.99
288,Christopher Brown,Jensenshire,Northern Mariana Islands,2,6,8,5823.32,6380.94
289,Yvonne Mccarthy,South Scott,Chile,2,5,10,8987.65,13220.92
290,Carol Hayes,Bryanfurt,Isle of Man,2,1,0,,2780.08
291,Jack Peterson,Lawrenceville,Niger,1,2,2,1044.75,1141.23
292,Karen Pittman,Port Paulabury,Korea,1,1,3,482.4,3354.24
293,Michael Mitchell,New Diana,Jersey,1,3,1,634.46,1805.9
294,Andrew Vasquez,Port Johnburgh,Vanuatu,1,0,0,,
295,Jasmine Wood,Lake Mary,Nepal,1,1,1,377.8,278.8
296,Nicole King,South Tamarabury,Tuvalu,1,0,0,,
297,Victor Haynes,Kariville,Guinea-Bissau,1,2,6,1968.73,2856.6
298,Brandon Moore,Perezland,Spain,1,4,6,3795.95,7788.35
299,Amber Thompson,Nicholsonshire,Kazakhstan,0,0,0,,
300,Joseph Spears,West Heather,Tokelau,4,7,11,5944.21,21457.35
301,Michelle Chang,East Christineside,Slovakia (Slovak Republic),1,1,1,139.75,1013.26
302,Alexander Mcpherson,Tanyaberg,Guyana,1,1,2,671.9,4125.28
303,Crystal West,West Victoria,Morocco,1,0,0,,
304,Juan Obrien,South Kylemouth,Cote d'Ivoire,1,2,6,2885.65,9715.44
305,Sue Mason,Joshuaport,Colombia,1,1,4,1883.43,3230.0
306,Elizabeth Dodson,Paynestad,Mexico,1,4,3,1211.56,6163.86
307,Joshua Davis,Port Nicole,Bangladesh,2,4,9,5058.57,3429.05
308,Aaron Fuentes,Lake Valeriechester,Zambia,1,2,1,252.32,3927.35
309,Roy Weber,Dennisberg,Indonesia,0,0,0,,
310,Robert Snow,Sanchezchester,Honduras,1,1,1,693.88,1723.2
311,Austin Pierce,East Mark,Saudi Arabia,3,4,10,7475.01,8625.33
312,Robert Harris,Jonathanstad,Sao Tome and Principe,3,4,6,7886.24,2843.65
313,Emily Randall,Joshuaside,Congo,1,1,1,135.59,1356.52
314,Danielle Evans,Drewton,Bouvet Island (Bouvetoya),3,2,4,2049.02,2349.6
315,Brian Villanueva,Laurastad,Anguilla,1,2,2,1022.89,1347.41
316,Brittany Holland,Port Jeffrey,Turkey,1,0,0,,
317,Troy Waller,Thomastown,Portugal,1,0,0,,
318,Lisa Simon,Port Andreafort,Syrian Arab Republic,1,1,1,299.24,578.34
319,Eric Mueller,Davidton,Iraq,2,6,5,2613.67,5849.3
320,Brittany Mccall,West Jillianfort,Romania,2,2,3,1784.23,3193.65
321,Stacy Simpson,Alejandroland,Saint Pierre and Miquelon,1,1,3,1833.59,1521.63
322,Alexandra King,South Sarahaven,Mauritania,2,1,1,1186.06,238.17
323,Stephanie Morales,Debbiefort,Congo,1,1,3,1350.49,1432.08
324,Allison Young,North Michelle,Togo,1,2,1,381.3,3507.07
325,Michael Rodriguez,West Joseph,Netherlands,2,4,6,4676.85,2219.42
326,Stephanie Zamora,Muellerfort,French Guiana,2,5,6,2509.64,5893.53
327,Christopher Lindsey,Lake Matthewshire,Cameroon,1,0,0,,
328,Edward Burns,Port Willieshire,Guernsey,1,3,8,6374.74,6607.0
329,Andrea Hickman,West Nicholas,Cambodia,0,0,0,,
330,Michael Bennett,East Laurenborough,Saint Lucia,1,3,5,4585.42,3887.19
331,Jacob Pacheco,South Maryton,Eritrea,0,0,0,,
332,Jacob Bennett,West Brandon,Northern Mariana Islands,1,0,0,,
333,Robin Bowers,West Kayla,Greece,1,1,2,1659.07,1392.3
334,Gary Ingram,Christophertown,France,1,2,4,2274.8,2829.92
335,Aaron Harvey,South Joshua,Vietnam,1,3,7,6051.41,2213.98
336,Alyssa Curtis,Jamiestad,Estonia,1,2,2,676.37,4121.85
337,Patricia Simmons,North Matthewside,Jordan,1,1,2,462.54,4522.0
338,Michael Butler,New Taramouth,Latvia,1,2,8,5406.17,2444.91
339,Steven Dyer,Maddenton,Tajikistan,1,1,1,212.68,840.6
340,Abigail Johnson,Ramseyberg,Bosnia and Herzegovina,0,0,0,,
341,Drew Hernandez,Vazquezfort,Iceland,1,5,11,9899.16,14355.54
342,Charles Benson,Zacharyburgh,Guadeloupe,1,1,2,1380.47,660.66
343,Andrew Wilson,Sandovalport,Macao,0,0,0,,
344,Lisa Adkins,Joshuachester,Denmark,1,2,4,2921.72,9092.3
345,Jonathan Griffith,West Robertville,Belarus,1,1,1,1243.72,1696.25
346,Samuel Hamilton,Port Jimmymouth,Korea,1,0,0,,
347,Tracy Perry,Jenniferstad,Andorra,1,2,5,2400.3,1349.88
348,Brian Herrera,North Andrew,Italy,1,3,4,3072.31,3827.03
349,Jessica King,Martinshire,United States Virgin Islands,3,5,12,8428.42,12889.85
350,Samantha Velez,Lake Andrew,Samoa,0,0,0,,
351,Sandra Wilson,Myerston,Somalia,0,0,0,,
352,Jeffrey Burgess,New Annaburgh,Azerbaijan,1,1,2,642.83,5329.5
353,Michael Jordan,Valentinefurt,Kazakhstan,1,1,2,570.83,2185.56
354,Madison Nelson,Latoyaville,British Virgin Islands,2,2,2,1585.48,6489.12
355,Tony Poole,Lopezview,Reunion,2,4,13,7869.13,11335.54
356,Morgan Parker,West Ryanton,Bermuda,2,3,4,643.45,7531.01
357,Emily Mercer,Martinhaven,Belgium,1,5,7,3783.27,13910.5
358,Jeremy Gonzales,Lake Carolynhaven,Pitcairn Islands,0,0,0,,
359,Katherine Garcia,East Christine,Hungary,0,0,0,,
360,Don Taylor,South Daniel,Qatar,2,2,0,,2783.49
361,John Case,Meganchester,Palestinian Territory,0,0,0,,
362,Stephanie Duke,South Douglashaven,Turkey,0,0,0,,
363,Jermaine Silva,Velazquezmouth,Bulgaria,2,3,7,5179.04,14501.97
364,Vickie Cherry,East Paultown,Taiwan,2,4,6,3901.29,5662.42
365,Garrett Smith,Michaelton,Malta,2,2,0,,3045.07
366,Brenda Odonnell,Toddburgh,Maldives,1,6,9,5666.74,14309.76
367,Patricia Burgess,New Robertmouth,Bhutan,3,7,9,3989.92,7784.23
368,Briana Patel,Cervantesborough,South Africa,0,0,0,,
369,Michelle Nunez,Port Katelyn,Puerto Rico,1,1,0,,1881.56
370,Lindsey Owen,Aaronberg,Bhutan,1,1,1,2811.35,664.18
371,Christy Schwartz,Carriemouth,Croatia,1,0,0,,
372,Heather Leon,Garciamouth,Japan,1,0,0,,
373,Lee King,Mitchelltown,Bermuda,1,0,0,,
374,Eric Stone,Meyerville,Cape Verde,1,1,3,795.47,2984.1
